Event ID,Event,Begin Date,End Date,Summary,Estimated Cost (Billions),Deaths,State,Category
0,Minnesota Hail Storm and Upper Midwest Severe Weather,6/9/17,6/16/17,"Severe hail and high wind damage impacting numerous states including MN,WI,WY,TX,IA,IL,KS,MO,NE,NY,PA,VA. The Minneapolis metro area in particular was damaged from large, destructive hail impacting many buildings and vehicles. This damage is comparable to the May 15, 1998 Minnesota hail storm that was also very costly.",$2.5 CI,0,IA,Severe Storm
0,Minnesota Hail Storm and Upper Midwest Severe Weather,6/9/17,6/16/17,"Severe hail and high wind damage impacting numerous states including MN,WI,WY,TX,IA,IL,KS,MO,NE,NY,PA,VA. The Minneapolis metro area in particular was damaged from large, destructive hail impacting many buildings and vehicles. This damage is comparable to the May 15, 1998 Minnesota hail storm that was also very costly.",$2.5 CI,0,IL,Severe Storm
0,Minnesota Hail Storm and Upper Midwest Severe Weather,6/9/17,6/16/17,"Severe hail and high wind damage impacting numerous states including MN,WI,WY,TX,IA,IL,KS,MO,NE,NY,PA,VA. The Minneapolis metro area in particular was damaged from large, destructive hail impacting many buildings and vehicles. This damage is comparable to the May 15, 1998 Minnesota hail storm that was also very costly.",$2.5 CI,0,KS,Severe Storm
0,Minnesota Hail Storm and Upper Midwest Severe Weather,6/9/17,6/16/17,"Severe hail and high wind damage impacting numerous states including MN,WI,WY,TX,IA,IL,KS,MO,NE,NY,PA,VA. The Minneapolis metro area in particular was damaged from large, destructive hail impacting many buildings and vehicles. This damage is comparable to the May 15, 1998 Minnesota hail storm that was also very costly.",$2.5 CI,0,MN,Severe Storm
0,Minnesota Hail Storm and Upper Midwest Severe Weather,6/9/17,6/16/17,"Severe hail and high wind damage impacting numerous states including MN,WI,WY,TX,IA,IL,KS,MO,NE,NY,PA,VA. The Minneapolis metro area in particular was damaged from large, destructive hail impacting many buildings and vehicles. This damage is comparable to the May 15, 1998 Minnesota hail storm that was also very costly.",$2.5 CI,0,MO,Severe Storm
0,Minnesota Hail Storm and Upper Midwest Severe Weather,6/9/17,6/16/17,"Severe hail and high wind damage impacting numerous states including MN,WI,WY,TX,IA,IL,KS,MO,NE,NY,PA,VA. The Minneapolis metro area in particular was damaged from large, destructive hail impacting many buildings and vehicles. This damage is comparable to the May 15, 1998 Minnesota hail storm that was also very costly.",$2.5 CI,0,NE,Severe Storm
0,Minnesota Hail Storm and Upper Midwest Severe Weather,6/9/17,6/16/17,"Severe hail and high wind damage impacting numerous states including MN,WI,WY,TX,IA,IL,KS,MO,NE,NY,PA,VA. The Minneapolis metro area in particular was damaged from large, destructive hail impacting many buildings and vehicles. This damage is comparable to the May 15, 1998 Minnesota hail storm that was also very costly.",$2.5 CI,0,NY,Severe Storm
0,Minnesota Hail Storm and Upper Midwest Severe Weather,6/9/17,6/16/17,"Severe hail and high wind damage impacting numerous states including MN,WI,WY,TX,IA,IL,KS,MO,NE,NY,PA,VA. The Minneapolis metro area in particular was damaged from large, destructive hail impacting many buildings and vehicles. This damage is comparable to the May 15, 1998 Minnesota hail storm that was also very costly.",$2.5 CI,0,PA,Severe Storm
0,Minnesota Hail Storm and Upper Midwest Severe Weather,6/9/17,6/16/17,"Severe hail and high wind damage impacting numerous states including MN,WI,WY,TX,IA,IL,KS,MO,NE,NY,PA,VA. The Minneapolis metro area in particular was damaged from large, destructive hail impacting many buildings and vehicles. This damage is comparable to the May 15, 1998 Minnesota hail storm that was also very costly.",$2.5 CI,0,TX,Severe Storm
0,Minnesota Hail Storm and Upper Midwest Severe Weather,6/9/17,6/16/17,"Severe hail and high wind damage impacting numerous states including MN,WI,WY,TX,IA,IL,KS,MO,NE,NY,PA,VA. The Minneapolis metro area in particular was damaged from large, destructive hail impacting many buildings and vehicles. This damage is comparable to the May 15, 1998 Minnesota hail storm that was also very costly.",$2.5 CI,0,VA,Severe Storm
0,Minnesota Hail Storm and Upper Midwest Severe Weather,6/9/17,6/16/17,"Severe hail and high wind damage impacting numerous states including MN,WI,WY,TX,IA,IL,KS,MO,NE,NY,PA,VA. The Minneapolis metro area in particular was damaged from large, destructive hail impacting many buildings and vehicles. This damage is comparable to the May 15, 1998 Minnesota hail storm that was also very costly.",$2.5 CI,0,WI,Severe Storm
0,Minnesota Hail Storm and Upper Midwest Severe Weather,6/9/17,6/16/17,"Severe hail and high wind damage impacting numerous states including MN,WI,WY,TX,IA,IL,KS,MO,NE,NY,PA,VA. The Minneapolis metro area in particular was damaged from large, destructive hail impacting many buildings and vehicles. This damage is comparable to the May 15, 1998 Minnesota hail storm that was also very costly.",$2.5 CI,0,WY,Severe Storm
1,Colorado Hail Storm and Central Severe Weather,5/8/17,5/11/17,"Hail storm and wind damage impacting several states including CO,OK,TX,NM,MO. The most costly impacts were in the Denver metro region where baseball-sized hail caused the most expensive hail storm in Colorado history, with insured losses exceeding 1.5 billion.",$2.2 CI,0,CO,Severe Storm
1,Colorado Hail Storm and Central Severe Weather,5/8/17,5/11/17,"Hail storm and wind damage impacting several states including CO,OK,TX,NM,MO. The most costly impacts were in the Denver metro region where baseball-sized hail caused the most expensive hail storm in Colorado history, with insured losses exceeding 1.5 billion.",$2.2 CI,0,MO,Severe Storm
1,Colorado Hail Storm and Central Severe Weather,5/8/17,5/11/17,"Hail storm and wind damage impacting several states including CO,OK,TX,NM,MO. The most costly impacts were in the Denver metro region where baseball-sized hail caused the most expensive hail storm in Colorado history, with insured losses exceeding 1.5 billion.",$2.2 CI,0,NM,Severe Storm
